reviewId,content,score,thumbsUpCount,at,replyContent,repliedAt,appName
9c172394-46cd-4e3e-a0bb-7fb7402a9f57,"I appreciate Snapdeal's fashion recommendation engine. It consistently suggests clothing and accessories that align with my style preferences. It's like having a personal stylist who understands my fashion taste. Their fashion recommendation engine, akin to a personal stylist, not only consistently aligns with my fashion preferences but also adds a personalized touch to my shopping experience on Snapdeal, making it truly exceptional. Snapdeal's fashion recommendations personalize my shopping.",5,3,1723052285000,"Hi, Love it when you are happy with us. This shall continue forever. Thanks! Aman",1723053010000,Snapdeal
e96e2c64-89e7-4236-a27d-a7fb15f2e840,"I ordered a product from SNAPDEAL last week, and I was amazed at how quickly it arrived. The packaging was secure, ensuring the item was undamaged. The customer service was good, as they kept me updated throughout the entire process. I had a question about the product, and their support team responded promptly and professionally. Overall, my experience with snapdeal was outstanding, and I can’t wait for my next purchase and you all should try it.",5,7,1719261965000,It is delightful to hear such positive words and it’s always a pleasure to serve our users.,1719263387000,Snapdeal
4dd15440-aaa5-4511-92f6-154cf54d0d1f,"For fitness enthusiasts, Snapdeal's sports and fitness gear section is a fantastic resource. They offer a wide range of equipment, apparel, and accessories to support an active lifestyle. It's my go-to destination for all things fitness-related. Snapdeal's sports and fitness gear section is a fitness enthusiast's paradise, offering a diverse selection of equipment, apparel, and accessories to support an active lifestyle, making it my ultimate destination for all things fitness-related.",5,0,1723050408000,Hi Kaushal! Your kind words encourage us greatly. Happy shopping!,1723051399000,Snapdeal
ddb51590-b9ad-427a-b1d4-1045d48de5c6,Worst app ever I ordered a jeans and they sent me a used product and I requested for a return they didn't came to accept and cancel return request by own then I can then and ask for return they are saying that this is done by the senior team we can't do anything. When I post my review here they call me and asked my issue and after listening that they didn't anything don't use it just uninstall the app,1,0,1722718690000,"Hi Varsa! Regret the experience you've had. However, we have connected and updated you about your issue. Thanks! Neha",1722719928000,Snapdeal
9c209268-add8-4707-afca-225e3d5cfb48,"If i got a chance to rate snapdeal out of 10 i wouod rate it 100/10 not just my words i really mean it, like lemme tell an small incident i was looking for few books online.. i found em on amazon and Flipkart the subtotal of amazon was like [₹1180] and the subtotal of flipkart [₹470] [3 books weren't available on flipkart] And here comes snapdeal Got all the five books for ₹456 cheapest rate and the best quality of product and service snapdeal deserves way much recognition and support❤️",5,0,1722619622000,"Hi, Love it when you are happy with us. This shall continue forever. Thanks! Avi",1722619823000,Snapdeal
0fbaa58a-4797-4af6-a7ae-9f46a086d893,"Snapdeal's fashion selection is truly impressive. Whether I'm looking for trendy clothing, stylish accessories, or footwear, they have a wide array of options to choose from. The platform allows me to stay on top of the latest fashion trends and express my personal style effortlessly. Their diverse fashion selection not only helps me stay on top of the latest trends but also allows me to effortlessly express my personal style, making Snapdeal a fashion-forward destination that truly impresses.",5,33,1723050835000,Hi Nishi! Love it when you are happy with us. This shall continue forever. Thanks! Aman,1723051248000,Snapdeal
3da1f6ce-2dbd-4ce7-8d61-a7ed56b7969e,Very bad service. Same product I ordered two times but everytime my one item is missing. I call customer care but both time they told me long process of refund in bank account. They only refund their apps wallet. From the last 15-16 days they didn't deliver the proper items. I say everyone don't download and order through this app.,1,3,1722535265000,Hi Rupesh! So sorry to disappoint you. I’ve shared this with my team. We'll connect with you soon regarding this. Thanks! Sia,1722635558000,Snapdeal
77279318-8848-4c2c-92bd-51344f3e384f,"The worst app ever I have seen. I have orders 5 salvar suits out of which they delivered two packages. One showed that there are 3 salvar suits and other having 2 . But when I opened the packages I found one top in one pack and another one in another package. I took the photos of them instantly. I contacted customer care regarding this for twice , they did some drama and they said they will make replacements for two and other 3 they will refund the amount. But nothing has happened. Fraud app",1,9,1718176525000,Hi Asina! So sorry to disappoint you. I’ve shared this with my team. We'll connect with you soon regarding this. Thanks! Aman,1718181016000,Snapdeal
fd4243d7-4fb9-46ee-93f0-3e75090442d9,"The Snapdeal mobile app is a real game-changer for me. It's not just a scaled-down version of the website; it's a well-designed, feature-rich app that enhances my shopping experience. The app's intuitive layout and functionality make shopping on the go a breeze. Its user-friendly interface and comprehensive features make the Snapdeal mobile app an indispensable tool that elevates convenience and accessibility in my online shopping journey.",5,47,1718218580000,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!,1718219339000,Snapdeal
0976df9b-e7cb-488e-9a4f-c5a67fb10e45,"Don't buy from Snapdeal! After 4 days, they cancel your order. You can't even contact them on customer care since they don't allow it for cancelled order. Same product still available on the app to place order. How can they give a reason of non availability? Was my 1st and last time. Please avoid placing orders with them because of no post order customer support.",1,11,1718876583000,Hi Akshay! Sorry to disappoint you. Kindly share your order details at csmanager@snapdeal.com and I'll help you out. Thanks! Aman,1718876797000,Snapdeal
